"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06"
"USC00058575","VAIL, CO US","1989-01-01",,,,,"0.00","0.0",,,,,,,,,
"USC00058575","VAIL, CO US","1989-01-02",,,,,"0.00","0.0","18.0","31","-4","2",,,,,
"USC00058575","VAIL, CO US","1989-01-03",,,,,"0.00","0.0","18.0","36","0","5",,,,,
"USC00058575","VAIL, CO US","1989-01-04",,,,,"0.00","0.0","17.0","39","1","9",,,,,
"USC00058575","VAIL, CO US","1989-01-05",,,,,"0.37","5.8","22.0","30","9","25",,,,,
"USC00058575","VAIL, CO US","1989-01-06",,,,,"0.00","0.0","22.0","31","11","18",,,,,
"USC00058575","VAIL, CO US","1989-01-07",,,,,"0.16","4.2","23.0","39","3","3",,,,,
"USC00058575","VAIL, CO US","1989-01-08",,,,,"0.00","0.0","24.0","11","-5","3",,,,,
"USC00058575","VAIL, CO US","1989-01-09",,,,,"0.05","1.0","22.0","11","-10","3",,,,,
"USC00058575","VAIL, CO US","1989-01-10",,,,,"0.04","1.8","25.0","17","3","10",,,,,
"USC00058575","VAIL, CO US","1989-01-11",,,,,"0.19","3.0","26.0","39","9","13",,,,,
"USC00058575","VAIL, CO US","1989-01-12",,,,,"0.00","0.0","26.0","13","-21","-19",,,,,
"USC00058575","VAIL, CO US","1989-01-13",,,,,"0.00","0.0","25.0","15","-21","-17",,,,,
"USC00058575","VAIL, CO US","1989-01-15","    2",,"0.08",,,"1.3","25.0","21","-19","10",,,,,
"USC00058575","VAIL, CO US","1989-01-16",,,,,"0.00","0.0","25.0","22","-14","-8",,,,,
"USC00058575","VAIL, CO US","1989-01-17",,,,,"0.00","0.0","24.0","21","-8","-3",,,,,
"USC00058575","VAIL, CO US","1989-01-18",,,,,"0.00","0.0","24.0","38","-5","-3",,,,,
"USC00058575","VAIL, CO US","1989-01-19",,,,,"0.00","0.0","24.0","34","-4","-1",,,,,
"USC00058575","VAIL, CO US","1989-01-20",,,,,"0.00","0.0",,,,,,,,,
"USC00058575","VAIL, CO US","1989-01-21",,,,,"0.00","0.0",,,,,,,,,
"USC00058575","VAIL, CO US","1989-01-22",,,,,"0.00","0.0","24.0","39","-6","-3",,,,,
"USC00058575","VAIL, CO US","1989-01-23",,,,,"0.00","0.0","22.0","37","-3","13",,,,,
"USC00058575","VAIL, CO US","1989-01-24",,,,,"0.00","0.0","22.0","41","5","18",,,,,
"USC00058575","VAIL, CO US","1989-01-25",,,,,"0.00","0.0",,,,,,,,,
"USC00058575","VAIL, CO US","1989-01-26",,,,,"0.00","0.0","23.0","35","-14","5",,,,,
"USC00058575","VAIL, CO US","1989-01-27",,,,,"0.00","0.0","23.0","28","-8","-3",,,,,
"USC00058575","VAIL, CO US","1989-01-29","    2",,"0.03",,,"0.5","23.0","38","-3","0",,,,,
"USC00058575","VAIL, CO US","1989-01-30",,,,,"0.00","0.0","23.0","35","0","10",,,,,
"USC00058575","VAIL, CO US","1989-01-31",,,,,"0.00","0.0","23.0","44","3","6",,,,,
"USC00058575","VAIL, CO US","1989-02-01",,,,,"0.00","0.0","23.0","46","5","15",,,,,
"USC00058575","VAIL, CO US","1989-02-02",,,,,"0.00","0.0","23.0","45","15","32",,,,,
"USC00058575","VAIL, CO US","1989-02-03",,,,,"0.00","0.3","23.0","39","27","28",,,,,
"USC00058575","VAIL, CO US","1989-02-05","    2",,"1.11",,,"16.5","36.0","26","-6","-3",,,,,
"USC00058575","VAIL, CO US","1989-02-06",,,,,"0.00","0.0","36.0","-1","-28","-22",,,,,
"USC00058575","VAIL, CO US","1989-02-07",,,,,"0.00","0.0",,,,,,,,,
"USC00058575","VAIL, CO US","1989-02-08",,,,,"0.00","0.0","33.0","16","-30","-20",,,,,
"USC00058575","VAIL, CO US","1989-02-09",,,,,"0.00","0.0","32.0","20","-21","17",,,,,
"USC00058575","VAIL, CO US","1989-02-10",,,,,"0.00","0.3","32.0","34","17","26",,,,,
"USC00058575","VAIL, CO US","1989-02-11",,,,,"0.00","0.0",,,,,,,,,
"USC00058575","VAIL, CO US","1989-02-12",,,,,"0.00","0.0","30.0","40","5","16","    1",,,,
"USC00058575","VAIL, CO US","1989-02-13",,,,,"0.10","1.3","31.0","32","10","15",,,,,
"USC00058575","VAIL, CO US","1989-02-14",,,,,"0.00","0.3","31.0","21","-3","0",,,,,
"USC00058575","VAIL, CO US","1989-02-15",,,,,"0.12","1.5","33.0","27","-1","0",,,,,
"USC00058575","VAIL, CO US","1989-02-16",,,,,"0.00","0.0","32.0","34","-8","-5",,,,,
"USC00058575","VAIL, CO US","1989-02-17",,,,,"0.00","0.0","32.0","40","-6","10",,,,,
"USC00058575","VAIL, CO US","1989-02-18",,,,,"0.00","0.0","30.0","45","10","16",,,,,
"USC00058575","VAIL, CO US","1989-02-19",,,,,"0.09","1.0","29.0","42","16","20",,,,,
"USC00058575","VAIL, CO US","1989-02-21","    2",,"0.22",,,"5.5","34.0","42","18","21",,,,,
"USC00058575","VAIL, CO US","1989-02-22",,,,,"0.00","0.0","33.0","33","-1","1",,,,,
"USC00058575","VAIL, CO US","1989-02-23",,,,,"0.00","0.0","31.0","39","1","28",,,,,
"USC00058575","VAIL, CO US","1989-02-24",,,,,"0.00","0.0","30.0","48","9","17",,,,,
"USC00058575","VAIL, CO US","1989-02-25",,,,,"0.00","0.0","30.0","55","17","28",,,,,
"USC00058575","VAIL, CO US","1989-02-26",,,,,"0.00","0.0","29.0","53","27","35",,,,,
"USC00058575","VAIL, CO US","1989-02-27",,,,,"0.00","0.0","28.0","41","22","26",,,,,
"USC00058575","VAIL, CO US","1989-02-28",,,,,"0.00","0.0","28.0","37","7","20",,,,,
"USC00058575","VAIL, CO US","1989-03-01",,,,,"0.00","0.0","28.0","41","9","24",,,,,
"USC00058575","VAIL, CO US","1989-03-02",,,,,"0.00","0.0","26.0","46","18","32",,,,,
"USC00058575","VAIL, CO US","1989-03-03",,,,,"0.32","4.0","29.0","41","27","32",,,,,
"USC00058575","VAIL, CO US","1989-03-04",,,,,"0.26","2.0","31.0","41","0","9",,,,,
"USC00058575","VAIL, CO US","1989-03-05",,,,,"0.00","0.0","30.0","39","-13","2",,,,,
"USC00058575","VAIL, CO US","1989-03-06",,,,,"0.00","0.0",,"35","0","23",,,,,
"USC00058575","VAIL, CO US","1989-03-07",,,,,"0.00","0.0",,"42","11","25",,,,,
"USC00058575","VAIL, CO US","1989-03-08",,,,,"0.00","0.0","28.0","41","25","36",,,,,
"USC00058575","VAIL, CO US","1989-03-09",,,,,"0.00","0.0","25.0","58","23","43",,,,,
"USC00058575","VAIL, CO US","1989-03-10",,,,,"0.00","0.0","20.0","66","22","38",,,,,
"USC00058575","VAIL, CO US","1989-03-11",,,,,"0.00","0.0","18.0","65","22","34",,,,,
"USC00058575","VAIL, CO US","1989-03-12",,,,,"0.00","0.0","18.0","60","22","40",,,,,
"USC00058575","VAIL, CO US","1989-03-13",,,,,"0.00","0.0","17.0","52","23","39",,,,,
"USC00058575","VAIL, CO US","1989-03-14",,,,,"0.00","0.0","17.0","55","18","22",,,,,
"USC00058575","VAIL, CO US","1989-03-15",,,,,"0.10","2.0","19.0","32","18","25",,,,,
"USC00058575","VAIL, CO US","1989-03-16",,,,,"0.00","0.0","16.0","43","19","33",,,,,
"USC00058575","VAIL, CO US","1989-03-17",,,,,"0.00","0.0","14.0","52","32","34",,,,,
"USC00058575","VAIL, CO US","1989-03-18",,,,,"0.00","0.0","12.0","41","22","40",,,,,
"USC00058575","VAIL, CO US","1989-03-19",,,,,"0.00","0.0","10.0","52","28","38",,,,,
"USC00058575","VAIL, CO US","1989-03-20",,,,,"0.12","2.0","12.0","38","15","21",,,,,
"USC00058575","VAIL, CO US","1989-03-21",,,,,"0.00","0.0","12.0","41","12","29",,,,,
"USC00058575","VAIL, CO US","1989-03-22",,,,,"0.00","0.0","11.0","46","28","34",,,,,
"USC00058575","VAIL, CO US","1989-03-23",,,,,"0.00","0.0","10.0","47","26","36",,,,,
"USC00058575","VAIL, CO US","1989-03-24",,,,,"0.00","0.0","5.0","50","22","43",,,,,
"USC00058575","VAIL, CO US","1989-03-25",,,,,"0.00","0.0","3.0","56","20","39",,,,,
"USC00058575","VAIL, CO US","1989-03-26",,,,,"0.00","0.0","0.0","56","26","31",,,,,
"USC00058575","VAIL, CO US","1989-03-27",,,,,"0.00","0.0","0.0","54","25","35",,,,,
"USC00058575","VAIL, CO US","1989-03-28",,,,,"0.00","0.0","0.0","50","22","40",,,,,
"USC00058575","VAIL, CO US","1989-03-29",,,,,"0.28","2.0","2.0","57","31","32",,,,,
"USC00058575","VAIL, CO US","1989-03-30",,,,,"0.47","6.0","8.0","39","20","26",,,,,
"USC00058575","VAIL, CO US","1989-03-31",,,,,"0.00","0.5","7.0","34","6","22",,,,,
"USC00058575","VAIL, CO US","1989-04-03",,,,,"1.03","11.0","14.0","36","22","25",,,,,
"USC00058575","VAIL, CO US","1989-04-04",,,,,"0.25","3.0","14.0","32","15","20",,,,,
"USC00058575","VAIL, CO US","1989-04-05",,,,,"0.00","0.0","14.0","38","19","27",,,,,
"USC00058575","VAIL, CO US","1989-04-06",,,,,"0.00","0.0","9.0","50","23","45",,,,,
"USC00058575","VAIL, CO US","1989-04-07",,,,,"0.00","0.0","5.0","55","26","50",,,,,
"USC00058575","VAIL, CO US","1989-04-08",,,,,"0.00","0.0","1.0","61","34","34",,,,,
"USC00058575","VAIL, CO US","1989-04-09",,,,,"0.00","0.0","1.0","55","33","35",,,,,
"USC00058575","VAIL, CO US","1989-04-10",,,,,"0.00","0.0","1.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-04-11",,,,,"0.00","0.0","1.0","48","12","35",,,,,
"USC00058575","VAIL, CO US","1989-04-12",,,,,"0.00","0.0","0.0","44","19","29",,,,,
"USC00058575","VAIL, CO US","1989-04-13",,,,,"0.00","0.0","0.0","51","17","30",,,,,
"USC00058575","VAIL, CO US","1989-04-14",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-04-15",,,,,"0.00","0.0","0.0","62","19","44",,,,,
"USC00058575","VAIL, CO US","1989-04-16",,,,,"0.00","0.0","0.0",,,,,,,,
"USC00058575","VAIL, CO US","1989-04-17",,,,,"0.00","0.0","0.0","65","33","39",,,,,
"USC00058575","VAIL, CO US","1989-04-18",,,,,"0.00","0.0","0.0","66","27","45",,,,,
"USC00058575","VAIL, CO US","1989-04-19",,,,,"0.00","0.0","0.0","65","25","42",,,,,
"USC00058575","VAIL, CO US","1989-04-20",,,,,"0.00","0.0","0.0","69","31","54",,,,,
"USC00058575","VAIL, CO US","1989-04-21",,,,,"0.00","0.0","0.0","74","27","52",,,,,
"USC00058575","VAIL, CO US","1989-04-22",,,,,"0.00","0.0","0.0","71","31","54",,,,,
"USC00058575","VAIL, CO US","1989-04-23",,,,,"0.00","0.0","0.0",,,,,,,,
