STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-01,0,0,16,34,4,16
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-02,0,0,15,36,2,10
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-03,0,0,15,40,10,14
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-04,0.2,3,17,36,10,14
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-05,0.05,0.5,17,36,18,22
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-06,0.55,7.5,23,26,16,20
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-07,0,0,23,12,-2,6
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-08,0,0,22,14,-14,4
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-09,0,0,21,20,-6,6
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-10,0.3,4,24,44,6,14
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-11,0.2,3.5,26,24,18,22
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-12,0,0,26,16,-12,-8
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-13,0,0,24,18,-16,-14
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-14,0.1,1.5,24,24,-8,0
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-15,0,0,24,24,4,10
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-16,0,0,23,34,-5,5
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-17,0,0,22,40,4,14
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-18,0,0,21,42,8,12
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-19,0,0,21,40,10,12
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-20,0,0,20,44,4,6
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-21,0,0,20,46,12,20
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-22,0,0,20,46,6,10
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-23,0.01,0,19,46,12,20
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-24,0,0,19,35,16,20
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-25,0.06,1,20,28,14,18
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-26,0,0,20,32,-5,-1
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-27,0.03,,22,36,-1,15
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-28,0,0,21,32,8,18
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-29,0,0,20,36,4,12
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-30,0,0,20,46,6,10
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-01-31,0,0,20,48,10,14
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-01,0.15,3,23,48,16,20
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-02,0.03,0.5,23,42,20,30
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-03,1.22,10,30,32,24,26
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-04,1.15,10,38,26,20,22
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-05,0,0,36,22,-16,-10
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-06,0,0,35,8,-24,-16
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-07,0,0,34,21,-25,-20
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-08,0,0,32,24,-20,15
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-09,0.07,1,31,36,-15,12
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-10,0.03,0.5,31,44,12,28
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-11,0,0,30,42,22,28
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-12,0.17,2,32,30,12,20
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-02-13,0.03,0.5,32,30,5,6
